gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
LAN202007230,cuetj001,SFN,1,value,12,0,18,5,2,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,,,,1,,,20200723,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN202007230,smyld001,SFN,2,value,3,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20200723,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN202007230,garcr006,SFN,3,value,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20200723,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN202007230,roget002,SFN,4,value,2,0,6,3,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,20200723,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN202007230,jimed002,SFN,5,value,1,0,5,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,,,,,,,20200723,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN202007230,menec001,SFN,6,value,3,0,5,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,20200723,0,LOS03,v,LAN,0,1,0,regular,y,y
LAN202007230,may-d003,LAN,1,value,13,0,20,7,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,,,,1,,,20200723,0,LOS03,h,SFN,1,0,0,regular,y,y
LAN202007230,fergc001,LAN,2,value,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20200723,0,LOS03,h,SFN,1,0,0,regular,y,y
LAN202007230,baezp001,LAN,3,value,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20200723,0,LOS03,h,SFN,1,0,0,regular,y,y
LAN202007230,kolaa001,LAN,4,value,5,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,,,,,,20200723,0,LOS03,h,SFN,1,0,0,regular,y,y
LAN202007230,gratb002,LAN,5,value,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,20200723,0,LOS03,h,SFN,1,0,0,regular,y,y
WAS202007230,coleg001,NYA,1,value,15,0,18,1,0,0,1,1,1,1,0,5,1,0,0,0,0,0,0,0,1,,,1,,1,20200723,0,WAS11,v,WAS,1,0,0,regular,y,y
WAS202007230,schem001,WAS,1,value,16,0,26,6,1,0,1,4,4,4,0,11,0,0,0,0,0,0,0,0,,1,,1,,1,20200723,0,WAS11,h,NYA,0,1,0,regular,y,y
BOS202007240,milot001,BAL,1,value,9,0,15,4,4,0,0,4,4,3,0,5,0,1,0,0,0,0,0,0,,1,,1,,,20200724,0,BOS07,v,BOS,0,1,0,regular,y,y
BOS202007240,carrc004,BAL,2,value,0,4,4,1,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,,,,,,,20200724,0,BOS07,v,BOS,0,1,0,regular,y,y
BOS202007240,lakit001,BAL,3,value,6,0,11,5,1,0,0,2,2,0,0,3,0,1,0,0,0,0,0,0,,,,,,,20200724,0,BOS07,v,BOS,0,1,0,regular,y,y
BOS202007240,hessd001,BAL,4,value,9,0,17,7,3,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,,,,,1,,20200724,0,BOS07,v,BOS,0,1,0,regular,y,y
BOS202007240,eovan001,BOS,1,value,18,0,23,5,3,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,1,,,1,,,20200724,0,BOS07,h,BAL,1,0,0,regular,y,y
BOS202007240,brica001,BOS,2,value,3,0,4,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20200724,0,BOS07,h,BAL,1,0,0,regular,y,y
BOS202007240,valdp002,BOS,3,value,6,0,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,,,,1,,20200724,0,BOS07,h,BAL,1,0,0,regular,y,y
CHA202007240,berrj001,MIN,1,value,12,0,19,7,2,0,1,5,5,1,0,1,0,1,0,0,0,0,0,0,,,,1,,,20200724,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202007240,may-t001,MIN,2,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,,,20200724,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202007240,clipt001,MIN,3,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20200724,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202007240,dufft001,MIN,4,value,3,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20200724,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202007240,stasc001,MIN,5,value,6,0,7,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,1,,20200724,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202007240,gioll001,CHA,1,value,11,0,20,6,0,0,2,7,7,3,0,3,0,1,0,0,1,0,0,0,,1,,1,,,20200724,0,CHI12,h,MIN,0,1,0,regular,y,y
